Month,Revenue,orders,Customers,AOV
2010-12-01,748957.02,2025,948,369.8553185185185
2011-01-01,560000.26,1476,783,379.4039701897019
2011-02-01,498062.65,1393,798,357.5467695620962
2011-03-01,683267.08,1983,1020,344.5623197175996
2011-04-01,493207.121,1744,899,282.8022482798165
2011-05-01,723333.51,2162,1079,334.5668408880666
2011-06-01,691123.12,2012,1051,343.50055666003976
2011-07-01,681300.111,1927,993,353.5548059159315
2011-08-01,682680.51,1737,980,393.0227461139896
2011-09-01,1019687.622,2327,1302,438.1983764503653
2011-10-01,1070704.67,2637,1425,406.0313500189609
2011-11-01,1461756.25,3462,1711,422.22884170999424
2011-12-01,433668.01,1015,686,427.2591231527094
