Month,Revenue,orders,Customers,AOV,Revenue_MoM_%,Orders_MoM_%,Revenue_3M_Rolling,Revenue_Trend,Revenue_Growth_Category
2010-12-01,748957.02,2025,948,369.8553185185185,,,,Flat,N/A
2011-01-01,560000.26,1476,783,379.4039701897019,-25.229319567630192,-27.111111111111107,,Down,Strong Decline
2011-02-01,498062.65,1393,798,357.5467695620962,-11.0602823648689,-5.623306233062331,602339.9766666667,Down,Strong Decline
2011-03-01,683267.08,1983,1020,344.5623197175996,37.18496659004644,42.35463029432878,580443.33,Up,Strong Growth
2011-04-01,493207.121,1744,899,282.8022482798165,-27.8163495012814,-12.052445789208265,558178.9503333333,Down,Strong Decline
2011-05-01,723333.51,2162,1079,334.5668408880666,46.65917810217506,23.96788990825689,633269.237,Up,Strong Growth
2011-06-01,691123.12,2012,1051,343.50055666003976,-4.453048221144906,-6.938020351526363,635887.917,Down,Mild Decline
2011-07-01,681300.111,1927,993,353.5548059159315,-1.4213110104028925,-4.224652087475144,698585.5803333333,Down,Mild Decline
2011-08-01,682680.51,1737,980,393.0227461139896,0.20261247249377945,-9.859885832900883,685034.5803333333,Up,Mild Growth
2011-09-01,1019687.622,2327,1302,438.1983764503653,49.36527512701365,33.966609096142776,794556.0809999999,Up,Strong Growth
2011-10-01,1070704.67,2637,1425,406.0313500189609,5.003203618372454,13.321873657069183,924357.6006666665,Up,Mild Growth
2011-11-01,1461756.25,3462,1711,422.22884170999424,36.522823796033336,31.28555176336747,1184049.514,Up,Strong Growth
2011-12-01,433668.01,1015,686,427.2591231527094,-70.33239912605129,-70.68168688619295,988709.6433333332,Down,Strong Decline
